Sentence1	Sentence 2
Have a written incident management response plan (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other 
Have a written incident management response plan (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
Have a written incident management response plan (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required? 
Have a written incident management response plan (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Have a written incident management response plan (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Perform background checks on all employees and contractors with access to sensitive data (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Perform background checks on all employees and contractors with access to sensitive data (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
Perform background checks on all employees and contractors with access to sensitive data (Yes/No)	Number of employees? 
Perform background checks on all employees and contractors with access to sensitive data (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required? 
Perform background checks on all employees and contractors with access to sensitive data (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Have restricted access to sensitive data (including physical records) (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
Have restricted access to sensitive data (including physical records) (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required? 
Have restricted access to sensitive data (including physical records) (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Have restricted access to sensitive data (including physical records) (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Have restricted access to sensitive data (including physical records) (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Have a process to delete systems access within 48 hours after employee termination (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required 
Have a process to delete systems access within 48 hours after employee termination (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Have a process to delete systems access within 48 hours after employee termination (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Have a process to delete systems access within 48 hours after employee termination (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Have a process to delete systems access within 48 hours after employee termination (Yes/No)	Date established? 
Have written information security policies and procedures that are reviewed annually and communicated to all employees including information security awareness training (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
Have written information security policies and procedures that are reviewed annually and communicated to all employees including information security awareness training (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Have written information security policies and procedures that are reviewed annually and communicated to all employees including information security awareness training (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other? 
Have written information security policies and procedures that are reviewed annually and communicated to all employees including information security awareness training (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Have written information security policies and procedures that are reviewed annually and communicated to all employees including information security awareness training (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Ensure all remote access to IT systems is secure (Yes/No)	Please confirm whether multi-factor authentication is always enabled on all email accounts for remote access 
Ensure all remote access to IT systems is secure (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Ensure all remote access to IT systems is secure (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
Ensure all remote access to IT systems is secure (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Ensure all remote access to IT systems is secure (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other? 
Only use operating systems that continue to be supported by the original provider (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Only use operating systems that continue to be supported by the original provider (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
Only use operating systems that continue to be supported by the original provider (Yes/No)	Please provide the name of the software or service provider that you use for each of the controls highlighted above? 
Only use operating systems that continue to be supported by the original provider (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Only use operating systems that continue to be supported by the original provider (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
You use anti-virus, anti-spyware and anti-malware software and update them regularly (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
You use anti-virus, anti-spyware and anti-malware software and update them regularly (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
You use anti-virus, anti-spyware and anti-malware software and update them regularly (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
You use anti-virus, anti-spyware and anti-malware software and update them regularly (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other? 
You use anti-virus, anti-spyware and anti-malware software and update them regularly (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
You use firewalls and other security applications between the internet and sensitive data (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
You use firewalls and other security applications between the internet and sensitive data (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other? 
You use firewalls and other security applications between the internet and sensitive data (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
You use firewalls and other security applications between the internet and sensitive data (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
You use firewalls and other security applications between the internet and sensitive data (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
You use intrusion detection or intrusion prevention systems (IDS/IPS) and these are monitored (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
You use intrusion detection or intrusion prevention systems (IDS/IPS) and these are monitored (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
You use intrusion detection or intrusion prevention systems (IDS/IPS) and these are monitored (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
You use intrusion detection or intrusion prevention systems (IDS/IPS) and these are monitored (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
You use intrusion detection or intrusion prevention systems (IDS/IPS) and these are monitored (Yes/No)	Please provide the name of the software or service provider that you use for each of the controls highlighted above? 
You ensure all sensitive data on your system is encrypted (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
You ensure all sensitive data on your system is encrypted (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
You ensure all sensitive data on your system is encrypted (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
You ensure all sensitive data on your system is encrypted (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
You ensure all sensitive data on your system is encrypted (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
You ensure all sensitive data on all removable media is encrypted (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required 
You ensure all sensitive data on all removable media is encrypted (Yes/No)	Please confirm whether multi-factor authentication is always enabled on all email accounts for remote access? 
You ensure all sensitive data on all removable media is encrypted (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
You ensure all sensitive data on all removable media is encrypted (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
You ensure all sensitive data on all removable media is encrypted (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
You ensure sensitive data is permanently removed (e.g. physical destruction not merely deleting) from hard drives and other storage media and paper records are shredded or confidentially disposed of (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required 
You ensure sensitive data is permanently removed (e.g. physical destruction not merely deleting) from hard drives and other storage media and paper records are shredded or confidentially disposed of (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
You ensure sensitive data is permanently removed (e.g. physical destruction not merely deleting) from hard drives and other storage media and paper records are shredded or confidentially disposed of (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
You ensure sensitive data is permanently removed (e.g. physical destruction not merely deleting) from hard drives and other storage media and paper records are shredded or confidentially disposed of (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
You ensure sensitive data is permanently removed (e.g. physical destruction not merely deleting) from hard drives and other storage media and paper records are shredded or confidentially disposed of (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
You perform regular backups and periodically monitor the quality of the backups (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
You perform regular backups and periodically monitor the quality of the backups (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
You perform regular backups and periodically monitor the quality of the backups (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
You perform regular backups and periodically monitor the quality of the backups (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
You perform regular backups and periodically monitor the quality of the backups (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required? 
If NO to any of the above, please detail below along with mitigating comments	If yes, Please provide the name of the top 10 critical providers 
If NO to any of the above, please detail below along with mitigating comments	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
If NO to any of the above, please detail below along with mitigating comments	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
If NO to any of the above, please detail below along with mitigating comments	If you ticked on others, please specify? 
If NO to any of the above, please detail below along with mitigating comments	Please provide the following details for your top 5 clients? 
Do you have a disaster recovery plan (DRP) and/or business continuity plan (BCP) in place?	Do you maintain daily offline back-ups of all critical data? 
Do you have a disaster recovery plan (DRP) and/or business continuity plan (BCP) in place?	Do you maintain daily offline back-ups of all critical data? 
Do you have a disaster recovery plan (DRP) and/or business continuity plan (BCP) in place?	If yes, Please provide the name of the top 10 critical providers? 
Do you have a disaster recovery plan (DRP) and/or business continuity plan (BCP) in place?	Please describe your data retention policy, including details of how often you purge records that are no longer required? 
Do you have a disaster recovery plan (DRP) and/or business continuity plan (BCP) in place?	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
In your DRP / BCP, how long would it take for you to be fully operational again following an incident?	Please describe your data retention policy, including details of how often you purge records that are no longer required 
In your DRP / BCP, how long would it take for you to be fully operational again following an incident?	Do you maintain daily offline back-ups of all critical data? 
In your DRP / BCP, how long would it take for you to be fully operational again following an incident?	Do you maintain daily offline back-ups of all critical data? 
In your DRP / BCP, how long would it take for you to be fully operational again following an incident?	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other? 
In your DRP / BCP, how long would it take for you to be fully operational again following an incident?	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
How often do you test your DRP / BCP?	Do you maintain daily offline back-ups of all critical data? 
How often do you test your DRP / BCP?	Do you maintain daily offline back-ups of all critical data? 
How often do you test your DRP / BCP?	Please describe your data retention policy, including details of how often you purge records that are no longer required? 
How often do you test your DRP / BCP?	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
How often do you test your DRP / BCP?	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Please state whether the following services are undertaken in house or outsourced to a 3rd party. If outsourced, please name vendor below.	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Please state whether the following services are undertaken in house or outsourced to a 3rd party. If outsourced, please name vendor below.	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Please state whether the following services are undertaken in house or outsourced to a 3rd party. If outsourced, please name vendor below.	Please provide the following details for your top 5 clients? 
Please state whether the following services are undertaken in house or outsourced to a 3rd party. If outsourced, please name vendor below.	If yes, Please provide the name of the top 10 critical providers? 
Please state whether the following services are undertaken in house or outsourced to a 3rd party. If outsourced, please name vendor below.	Please provide the name of the software or service provider that you use for each of the controls highlighted above? 
If more than one Company is being covered by this policy, Do they utilise different vendors for these services? (Yes / No) (Show optional when yes)	If yes, Please provide the name of the top 10 critical providers 
If more than one Company is being covered by this policy, Do they utilise different vendors for these services? (Yes / No) (Show optional when yes)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
If more than one Company is being covered by this policy, Do they utilise different vendors for these services? (Yes / No) (Show optional when yes)	Please provide the following details for your top 5 clients? 
If more than one Company is being covered by this policy, Do they utilise different vendors for these services? (Yes / No) (Show optional when yes)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
If more than one Company is being covered by this policy, Do they utilise different vendors for these services? (Yes / No) (Show optional when yes)	Description of Business Activites? 
Company name	Company Name 
Company name	Who is responsible for IT security within your organisation (by job title)? 
Company name	Website address? 
Company name	Number of employees? 
Company name	Date established? 
Please provide details of the vendors for the following services: (or enter "Y" in "In-house" column if it is managed and operated in-house)	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Please provide details of the vendors for the following services: (or enter "Y" in "In-house" column if it is managed and operated in-house)	Please provide the following details for your top 5 clients? 
Please provide details of the vendors for the following services: (or enter "Y" in "In-house" column if it is managed and operated in-house)	If yes, Please provide the name of the top 10 critical providers? 
Please provide details of the vendors for the following services: (or enter "Y" in "In-house" column if it is managed and operated in-house)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Please provide details of the vendors for the following services: (or enter "Y" in "In-house" column if it is managed and operated in-house)	Please provide the name of the software or service provider that you use for each of the controls highlighted above? 
Do you authenticate inbound email using tools such as DMARC (Domain-Based Message Authentication)? (Yes/No)	Please confirm whether multi-factor authentication is always enabled on all email accounts for remote access 
Do you authenticate inbound email using tools such as DMARC (Domain-Based Message Authentication)? (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Do you authenticate inbound email using tools such as DMARC (Domain-Based Message Authentication)? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Do you authenticate inbound email using tools such as DMARC (Domain-Based Message Authentication)? (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
Do you authenticate inbound email using tools such as DMARC (Domain-Based Message Authentication)? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced? 
Do you scan and filter inbound emails for malicious content (such as executable files)? (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
Do you scan and filter inbound emails for malicious content (such as executable files)? (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Do you scan and filter inbound emails for malicious content (such as executable files)? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Do you scan and filter inbound emails for malicious content (such as executable files)? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Do you scan and filter inbound emails for malicious content (such as executable files)? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other? 
Do you train end users against phishing and social engineering threats via ongoing campaigns and assessments? (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering 
Do you train end users against phishing and social engineering threats via ongoing campaigns and assessments? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other? 
Do you train end users against phishing and social engineering threats via ongoing campaigns and assessments? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Do you train end users against phishing and social engineering threats via ongoing campaigns and assessments? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Do you train end users against phishing and social engineering threats via ongoing campaigns and assessments? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers? 
Does your Incident Response Plan reference mitigation steps for business continuity and recovery should a ransomware incident occur? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other 
Does your Incident Response Plan reference mitigation steps for business continuity and recovery should a ransomware incident occur? (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
Does your Incident Response Plan reference mitigation steps for business continuity and recovery should a ransomware incident occur? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Does your Incident Response Plan reference mitigation steps for business continuity and recovery should a ransomware incident occur? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Does your Incident Response Plan reference mitigation steps for business continuity and recovery should a ransomware incident occur? (Yes/No)	Who is responsible for IT security within your organisation (by job title)? 
Do you take regular backups of critical data? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Do you take regular backups of critical data? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Do you take regular backups of critical data? (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Do you take regular backups of critical data? (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Do you take regular backups of critical data? (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required? 
Do you keep backups offline and segmented from your network? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Do you keep backups offline and segmented from your network? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Do you keep backups offline and segmented from your network? (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Do you keep backups offline and segmented from your network? (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Do you keep backups offline and segmented from your network? (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required? 
Is the integrity of these backups and your recovery plans regularly tested? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Is the integrity of these backups and your recovery plans regularly tested? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Is the integrity of these backups and your recovery plans regularly tested? (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Is the integrity of these backups and your recovery plans regularly tested? (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Is the integrity of these backups and your recovery plans regularly tested? (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required? 
Do you enforce a BYOD (Bring Your Own Device) policy that ensures critical data is encrypted when transferred to portable media devices (USBs, Laptops etc)? (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups 
Do you enforce a BYOD (Bring Your Own Device) policy that ensures critical data is encrypted when transferred to portable media devices (USBs, Laptops etc)? (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups? 
Do you enforce a BYOD (Bring Your Own Device) policy that ensures critical data is encrypted when transferred to portable media devices (USBs, Laptops etc)? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Do you enforce a BYOD (Bring Your Own Device) policy that ensures critical data is encrypted when transferred to portable media devices (USBs, Laptops etc)? (Yes/No)	Do you maintain daily offline back-ups of all critical data? 
Do you enforce a BYOD (Bring Your Own Device) policy that ensures critical data is encrypted when transferred to portable media devices (USBs, Laptops etc)? (Yes/No)	If yes, Please provide the name of the top 10 critical providers? 
