question1	question2	is_duplicate
Only use operating systems that continue to be supported by the original provider (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering	0
Do you authenticate inbound email using tools such as DMARC (Domain-Based Message Authentication)? (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering	0
Do you maintain an independent annual audit of your business functions including IT? (Yes/No)	Last 12 Months Gross Revenue($)?	0
How many personally identifiable information (PII) records or unique consumer records does the company currently hold (including employees)?	Number of employees	0
Do you maintain an independent annual audit of your business functions including IT? (Yes/No)	Do you maintain daily offline back-ups of all critical data?	0
Do you engage in business to consumer (B2C) contracts? (Yes / No) (Show optional when yes)	Description of Business Activites	0
How often do you test your DRP / BCP?	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
Do you train end users against phishing and social engineering threats via ongoing campaigns and assessments? (Yes/No)	Do you maintain daily offline back-ups of all critical data?	0
Perform background checks on all employees and contractors with access to sensitive data (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required?	0
Expected Average Transaction Size? Please include currency	Please complete the answers to the questions below. Where you do not have the exact information available please provide the closest approximation and indicate that you have taken this approach.	0
You are not aware of any circumstance or problem that might in the future give rise to a claim against or a loss for the company or any of its directors, officers or partners that is covered under the proposed insurance policy? (Yes/No)	Who is responsible for IT security within your organisation (by job title)?	0
If more than one Company is being covered by this policy, Do they utilise different vendors for these services? (Yes / No) (Show optional when yes)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
Is the integrity of these backups and your recovery plans regularly tested? (Yes/No)	Do you maintain daily offline back-ups of all critical data?	0
Overview of technology infrastructure being used?	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering	0
Insurance details	Who is responsible for IT security within your organisation (by job title)?	0
Do you use a standard form of contract, agreement or letter of appointment with regard to services performed?	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
Do you engage in business to business (B2B) contracts? (Yes / No) (Show optional when yes)	Description of Business Activites	0
Company name	Who is responsible for IT security within your organisation (by job title)?	0
Do you authenticate inbound email using tools such as DMARC (Domain-Based Message Authentication)? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
Does the company hold or process any of the following types of sensitive data? - Financial information (including credit/debit card records), - Medical information - Identity information (including NI number or passport details) - Names, addresses, telephone numbers	Who is responsible for IT security within your organisation (by job title)?	0
Are all publications and online material issued by the company reviewed by an in-house legal department and/or outside legal advisers? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
Please provide a full description of your business activities and detail if there are any anticipated changes to the activities in the next 12 months	Please provide the following details for your top 5 clients?	0
Please list the five largest contracts undertaken during the last 3 years	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other?	0
The company has not been adversely affected by or suffered any loss from any: unforeseen down time to its website or IT network of more than 3 hours? (Yes/No)	If yes, Please provide the name of the top 10 critical providers?	0
Primary website domain / URL	If yes, Please provide the name of the top 10 critical providers?	0
If NO to any of the above, please detail below along with mitigating comments	If you ticked on others, please specify?	0
Insurance details	If yes, Please provide the name of the top 10 critical providers?	0
Do your standard delivery / contract terms: accept liability for financial damages greater than the value of contract? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
Financial Crime Process in place? (Yes/No)	If yes, Please provide the name of the top 10 critical providers?	0
Primary website domain / URL	Website address	0
Do you have a disaster recovery plan (DRP) and/or business continuity plan (BCP) in place?	Do you maintain daily offline back-ups of all critical data?	0
Expected 12 months Value of Transactions? Please include currency	Revenue From US Sales (%)?	0
Details of funding to-date/planned?	Date established	0
Please attach CVs of Directors	Number of employees?	0
Please provide annual financial details for the past year, current year and the projected income for the next financial year.	Last 12 Months Gross Revenue($)	0
Only use operating systems that continue to be supported by the original provider (Yes/No)	If yes, Please provide the name of the top 10 critical providers?	0
No claims (successful or otherwise) have been made against or have been threatened to made against: the company or any of its predecessors in respect to any negligence, breach of duty of care, infringement of any intellectual property right, libel or slander, dishonesty of any employee or to any other act, error or omission that that has or might have given rise to a claim? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other	0
You use anti-virus, anti-spyware and anti-malware software and update them regularly (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
Do you have a disaster recovery plan (DRP) and/or business continuity plan (BCP) in place?	Please describe your data retention policy, including details of how often you purge records that are no longer required?	0
Are AISP/PISP activities being provided? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
Primary website domain / URL	Revenue From US Sales (%)?	0
Please state whether the following services are undertaken in house or outsourced to a 3rd party. If outsourced, please name vendor below.	Please provide the name of the software or service provider that you use for each of the controls highlighted above?	0
Financial Crime Process in place? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other	0
Are all publications and online material issued by the company reviewed by an in-house legal department and/or outside legal advisers? (Yes/No)	If yes, Please provide the name of the top 10 critical providers	0
Do your standard delivery / contract terms: allow for changes to the scope of work without a written variation of contract? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
Ensure all remote access to IT systems is secure (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
The company has not been adversely affected by or suffered any loss from any: privacy breach, virus, distributed denial of service (DDOS), telephone phreaking or hacking incident? (Yes/No)	If yes, Please provide the name of the top 10 critical providers?	0
Do you train end users against phishing and social engineering threats via ongoing campaigns and assessments? (Yes/No)	Do you maintain daily offline back-ups of all critical data?	0
Please list the five largest contracts undertaken during the last 3 years	Company Name?	0
Overview of technology infrastructure being used?	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
You ensure all sensitive data on your system is encrypted (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering	0
Do you enforce a BYOD (Bring Your Own Device) policy that ensures critical data is encrypted when transferred to portable media devices (USBs, Laptops etc)? (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
Anti-Money Laundering (AML) Process in place? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
Company name	Number of employees?	0
Please provide annual financial details for the past year, current year and the projected income for the next financial year.	Revenue From US Sales (%)?	0
Are any crypto activities being offered? (Yes/No)	Description of Business Activites?	0
You ensure all sensitive data on all removable media is encrypted (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required	0
Have a process to delete systems access within 48 hours after employee termination (Yes/No)	Who is responsible for IT security within your organisation (by job title)?	0
Do you engage in business to business (B2B) contracts? (Yes / No) (Show optional when yes)	If you ticked on others, please specify?	0
Regions of Customer/User are based/domiciled?	Description of Business Activites?	0
Are all publications and online material issued by the company reviewed by an in-house legal department and/or outside legal advisers? (Yes/No)	Do you maintain daily offline back-ups of all critical data?	0
Treating Customer Fairly (TCF) Process in place? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
The company has not received complaints, whether oral or in writing, regarding its services performed, products or solutions sold or provided, or advice given? (Yes/No)	Please provide the following details for your top 5 clients?	0
You ensure all sensitive data on your system is encrypted (Yes/No)	Do you maintain daily offline back-ups of all critical data?	0
Ensure all remote access to IT systems is secure (Yes/No)	Who is responsible for IT security within your organisation (by job title)?	0
Are AISP/PISP activities being provided? (Yes/No)	Description of Business Activites	0
Is the company authorised and regulated by the Financial Conduct Authority?	If yes, Please provide the name of the top 10 critical providers?	0
In the last 5 years the company or any director/employee has not been subject to any regulatory investigation? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
The company has not received complaints, whether oral or in writing, regarding its services performed, products or solutions sold or provided, or advice given? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
Expected number of users in 12 months?	Revenue From US Sales (%)?	0
Please provide a full description of your business activities and detail if there are any anticipated changes to the activities in the next 12 months	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering	0
If more than one Company is being covered by this policy, Do they utilise different vendors for these services? (Yes / No) (Show optional when yes)	Please provide the following details for your top 5 clients?	0
Please provide details of the vendors for the following services: (or enter "Y" in "In-house" column if it is managed and operated in-house)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
Please confirm geographical split of fee income/turnover by client / customer base	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
Please confirm your total number of employees	Please provide the following details for your top 5 clients?	0
Do your standard delivery / contract terms: provide for an unlimited warranty period? (Yes/No)	If yes, Please provide the name of the top 10 critical providers	0
Customer profile/description of Customer/User?	Please provide the following details for your top 5 clients	0
Date of establishment	Number of employees?	0
Do you engage in business to consumer (B2C) contracts? (Yes / No) (Show optional when yes)	Please provide the following details for your top 5 clients?	0
Are AISP/PISP activities being provided? (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering	0
Only use operating systems that continue to be supported by the original provider (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
Please attach CVs of Directors	Company Name?	0
You use intrusion detection or intrusion prevention systems (IDS/IPS) and these are monitored (Yes/No)	Who is responsible for IT security within your organisation (by job title)?	0
The company has not suffered from any attempt, successful or otherwise: of extortion against it by a threat to commit a theft, cyber-attack or other malicious or criminal event. (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other	0
Do your standard delivery / contract terms: accept liability for consequential or indirect losses? (Yes/No)	Who is responsible for IT security within your organisation (by job title)?	0
Please state whether the following services are undertaken in house or outsourced to a 3rd party. If outsourced, please name vendor below.	If yes, Please provide the name of the top 10 critical providers?	0
If the company has been established for less than 3 years, can you confirm that one or more of the Directors has at least 3 years’ experience in the relevant industry? (Yes/No)	Who is responsible for IT security within your organisation (by job title)?	0
Do you engage in business to business (B2B) contracts? (Yes / No) (Show optional when yes)	Date established?	0
You ensure all sensitive data on all removable media is encrypted (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
Any ‘Associated’ or ‘Sister’ Companies? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
Please confirm geographical split of fee income/turnover by client / customer base	Please provide the following details for your top 5 clients?	0
Do your standard delivery / contract terms: provide indemnities to your clients (other than for liability for intellectual property rights, death, bodily injury, and/or property damage)? (Yes/No)	Please provide the following details for your top 5 clients?	0
Please confirm your total number of employees	Company Name?	0
In the last 5 years the company or any director/employee has not been subject to any regulatory investigation? (Yes/No)	Please tick all the boxes below that relate to any cyber incident that you have experienced in the last three years (there is no need to highlight events that were successfully blocked by security measures) , Cyber Crime, Cyber Exortion, Data Loss, Denial of Service Attack, IP Infringement, Malware Infection, Privacy Breach, Ransomware, Other?	0
The company has not suffered from any attempt, successful or otherwise: to steal any money, financial instruments or any other asset that it either owns or for which it is legally responsible. (Yes/No)	Company Name	0
Does your Incident Response Plan reference mitigation steps for business continuity and recovery should a ransomware incident occur? (Yes/No)	Who is responsible for IT security within your organisation (by job title)?	0
If NO to any of the above, please provide full details:	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
Do your standard delivery / contract terms: provide indemnities to your clients (other than for liability for intellectual property rights, death, bodily injury, and/or property damage)? (Yes/No)	Please provide the following details for your top 5 clients?	0
The company has not been adversely affected by or suffered any loss from any: unforeseen down time to its website or IT network of more than 3 hours? (Yes/No)	Company Name?	0
What is the average value per transaction during the last 12 months? Please include currency	Last 12 Months Gross Revenue($)	0
Do you keep backups offline and segmented from your network? (Yes/No)	Do you maintain daily offline back-ups of all critical data?	0
No claims (successful or otherwise) have been made against or have been threatened to made against: any director, partner or officer in respect to any wrongful act committed by them whilst acting in such capacity? (Yes/No)	Date established?	0
Are any crypto activities being offered? (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering	0
Date of establishment	Description of Business Activites?	0
Address of registered or principal office	Company Name?	0
Type of Regulatory Licenses being used?	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
The company has not received complaints, whether oral or in writing, regarding its services performed, products or solutions sold or provided, or advice given? (Yes/No)	Description of Business Activites?	0
Do your standard delivery / contract terms: accept liability for financial damages greater than the value of contract? (Yes/No)	If yes, Please provide the name of the top 10 critical providers?	0
You ensure sensitive data is permanently removed (e.g. physical destruction not merely deleting) from hard drives and other storage media and paper records are shredded or confidentially disposed of (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
Are any crypto activities being offered? (Yes/No)	Please provide the following details for your top 5 clients?	0
You use intrusion detection or intrusion prevention systems (IDS/IPS) and these are monitored (Yes/No)	Please tick all the boxes below that relate to controls that you currently have implemented within your IT infrastructure (including where provided by a third party). Application Whitelisting, Asset Inventory,Custom Threat Intelligence, Database Encryption, Data Loss Prevention, DDoS Mitigation, DMARC, DNS Filtering, Email Filtering, Employee Awareness Training, Endpoint Protection, Incident Response Plan, Intrusion Detection System, Network Monitoring, Penetration Tests, Perimeter Firewalls, Security Info & Event Management, Vulnerability Scans, Web Application Firewall, Web Content Filtering	0
Do you use a standard form of contract, agreement or letter of appointment with regard to services performed?	Company Name?	0
You ensure all sensitive data on your system is encrypted (Yes/No)	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
Do your standard delivery / contract terms: include any form of liquidated damages? (Yes/No)	Company Name?	0
The company has not suffered from any attempt, successful or otherwise: of extortion against it by a threat to commit a theft, cyber-attack or other malicious or criminal event. (Yes/No)	If yes, Please provide the name of the top 10 critical providers?	0
Customer profile/description of Customer/User?	Website address?	0
How many personally identifiable information (PII) records or unique consumer records does the company currently hold (including employees)?	Please describe your data retention policy, including details of how often you purge records that are no longer required?	0
Overview of technology infrastructure being used?	Please provide the following details for your top 5 clients?	0
Do your standard delivery / contract terms: warrant a performance standard greater than reasonable care and skill? (Yes/No)	Please provide the following details for your top 5 clients?	0
Name of company (insured)	Company Name	0
Anti-Money Laundering (AML) Process in place? (Yes/No)	Description of Business Activites	0
Anti-Money Laundering (AML) Process in place? (Yes/No)	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
Do your standard delivery / contract terms: warrant a performance standard greater than reasonable care and skill? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
How many personally identifiable information (PII) records or unique consumer records does the company expect to hold in 12 months (including employees)?	Please describe your data back-up policy in detail, including the frequency of back-ups, the technology used, the types of back-ups, the storage method used (online or offline), how often you test the back-ups and how you protect your back-ups?	0
Do your standard delivery / contract terms: provide for an unlimited warranty period? (Yes/No)	Is any part of your IT infrastructure outsourced to third party technology providers, including application service providers?	0
Financial Crime Process in place? (Yes/No)	Please describe your data retention policy, including details of how often you purge records that are no longer required?	0
What is the average value per transaction during the last 12 months? Please include currency	Description of Business Activites?	0
Is the company authorised and regulated by the Financial Conduct Authority?	Company Name?	0
If NO to any of the above, please provide full details:	Is your IT infrastructure primarily operated and managed in-house or outsourced?	0
The company has not received complaints, whether oral or in writing, regarding its services performed, products or solutions sold or provided, or advice given? (Yes/No)	If yes, Please provide the name of the top 10 critical providers	0
How often do you test your DRP / BCP?	Do you maintain daily offline back-ups of all critical data?	0
If you have entered a Rest of the World number, please list applicable countries below	Primary Address (Address, County, Postcode, Country	0
Expected Average Transaction Size? Please include currency	Last 12 Months Gross Revenue($)?	0
